ts,open,high,low,close,volume,Trading_Day,Session
2026-04-08 20:28:00,35159.0,35178.0,35149.0,35178.0,101,2026-04-09,2
2026-04-08 20:29:00,35175.0,35195.0,35175.0,35177.0,94,2026-04-09,2
2026-04-08 20:30:00,35177.0,35200.0,35175.0,35187.0,58,2026-04-09,2
2026-04-08 20:31:00,35185.0,35204.0,35180.0,35200.0,88,2026-04-09,2
2026-04-08 20:32:00,35200.0,35215.0,35194.0,35203.0,74,2026-04-09,2
2026-04-08 20:33:00,35201.0,35214.0,35198.0,35210.0,38,2026-04-09,2
2026-04-08 20:34:00,35211.0,35227.0,35207.0,35223.0,66,2026-04-09,2
2026-04-08 20:35:00,35221.0,35224.0,35216.0,35222.0,40,2026-04-09,2
2026-04-08 20:36:00,35224.0,35226.0,35210.0,35220.0,67,2026-04-09,2
2026-04-08 20:37:00,35220.0,35222.0,35213.0,35215.0,48,2026-04-09,2
2026-04-08 20:38:00,35219.0,35226.0,35210.0,35226.0,94,2026-04-09,2
2026-04-08 20:39:00,35220.0,35243.0,35217.0,35240.0,76,2026-04-09,2
2026-04-08 20:40:00,35238.0,35246.0,35233.0,35243.0,88,2026-04-09,2
2026-04-08 20:41:00,35241.0,35247.0,35236.0,35244.0,68,2026-04-09,2
2026-04-08 20:42:00,35240.0,35245.0,35235.0,35244.0,49,2026-04-09,2
2026-04-08 20:43:00,35248.0,35248.0,35228.0,35241.0,55,2026-04-09,2
2026-04-08 20:44:00,35235.0,35244.0,35224.0,35237.0,77,2026-04-09,2
2026-04-08 20:45:00,35236.0,35245.0,35234.0,35242.0,24,2026-04-09,2
2026-04-08 20:46:00,35242.0,35255.0,35242.0,35247.0,70,2026-04-09,2
2026-04-08 20:47:00,35253.0,35253.0,35237.0,35237.0,27,2026-04-09,2
2026-04-08 20:48:00,35246.0,35275.0,35246.0,35249.0,144,2026-04-09,2
2026-04-08 20:49:00,35246.0,35249.0,35228.0,35235.0,57,2026-04-09,2
2026-04-08 20:50:00,35235.0,35245.0,35233.0,35239.0,45,2026-04-09,2
2026-04-08 20:51:00,35240.0,35246.0,35235.0,35235.0,34,2026-04-09,2
2026-04-08 20:52:00,35239.0,35257.0,35239.0,35250.0,34,2026-04-09,2
2026-04-08 20:53:00,35250.0,35254.0,35246.0,35250.0,32,2026-04-09,2
2026-04-08 20:54:00,35255.0,35255.0,35250.0,35255.0,8,2026-04-09,2
2026-04-08 20:55:00,35253.0,35268.0,35253.0,35262.0,52,2026-04-09,2
2026-04-08 20:56:00,35264.0,35264.0,35255.0,35258.0,21,2026-04-09,2
2026-04-08 20:57:00,35261.0,35264.0,35242.0,35243.0,50,2026-04-09,2
2026-04-08 20:58:00,35243.0,35254.0,35241.0,35254.0,42,2026-04-09,2
2026-04-08 20:59:00,35249.0,35257.0,35248.0,35257.0,18,2026-04-09,2
2026-04-08 21:00:00,35256.0,35258.0,35248.0,35248.0,21,2026-04-09,2
2026-04-08 21:01:00,35248.0,35268.0,35238.0,35267.0,73,2026-04-09,2
2026-04-08 21:02:00,35262.0,35285.0,35262.0,35276.0,93,2026-04-09,2
2026-04-08 21:03:00,35275.0,35282.0,35271.0,35280.0,50,2026-04-09,2
2026-04-08 21:04:00,35280.0,35283.0,35274.0,35274.0,51,2026-04-09,2
2026-04-08 21:05:00,35274.0,35275.0,35259.0,35271.0,52,2026-04-09,2
2026-04-08 21:06:00,35272.0,35272.0,35258.0,35258.0,17,2026-04-09,2
2026-04-08 21:07:00,35258.0,35266.0,35257.0,35257.0,26,2026-04-09,2
2026-04-08 21:08:00,35256.0,35258.0,35245.0,35258.0,57,2026-04-09,2
2026-04-08 21:09:00,35263.0,35299.0,35263.0,35292.0,186,2026-04-09,2
2026-04-08 21:10:00,35288.0,35309.0,35285.0,35300.0,159,2026-04-09,2
2026-04-08 21:11:00,35298.0,35298.0,35287.0,35291.0,52,2026-04-09,2
