timestamp,Open,High,Low,Close,Volume,Dividends,Stock Splits,Amount,Date
,79.0,79.4,78.9,79.0,2381,,,188429500.0,2026-04-23 09:03:00
,78.9,79.0,78.8,78.9,836,,,65936800.0,2026-04-23 09:04:00
,78.9,79.0,78.7,78.9,1743,,,137417600.0,2026-04-23 09:05:00
,78.9,79.0,77.6,78.0,5423,,,423898000.0,2026-04-23 09:06:00
,77.9,78.0,77.4,77.6,2667,,,207174800.0,2026-04-23 09:07:00
,77.5,78.6,77.4,78.4,2325,,,181259400.0,2026-04-23 09:08:00
,78.4,78.4,77.9,78.2,849,,,66355800.0,2026-04-23 09:09:00
,78.3,78.3,77.9,78.0,956,,,74660700.0,2026-04-23 09:10:00
,78.1,78.1,77.9,78.0,602,,,46950300.0,2026-04-23 09:11:00
,78.0,78.5,77.9,78.2,1080,,,84486600.0,2026-04-23 09:12:00
,78.2,78.6,77.9,78.0,6159,,,481383100.0,2026-04-23 09:13:00
,78.0,78.7,77.8,78.7,1727,,,134979700.0,2026-04-23 09:14:00
,78.6,78.9,78.6,78.7,1351,,,106389300.0,2026-04-23 09:15:00
,78.7,79.0,78.7,78.9,1297,,,102268200.0,2026-04-23 09:16:00
,78.9,79.0,78.5,78.9,1723,,,135782400.0,2026-04-23 09:17:00
,78.8,78.9,78.4,78.4,1095,,,86228100.0,2026-04-23 09:18:00
,78.4,78.6,78.3,78.3,423,,,33180600.0,2026-04-23 09:19:00
,78.3,78.4,78.0,78.1,595,,,46525400.0,2026-04-23 09:20:00
,78.1,78.2,77.8,77.9,1284,,,100114600.0,2026-04-23 09:21:00
,77.9,78.0,77.7,77.8,757,,,58945000.0,2026-04-23 09:22:00
,77.8,77.8,77.5,77.7,1500,,,116425200.0,2026-04-23 09:23:00
,77.7,77.9,77.6,77.9,510,,,39651400.0,2026-04-23 09:24:00
,77.9,78.2,77.7,78.1,1328,,,103550500.0,2026-04-23 09:25:00
,78.2,78.4,78.1,78.4,685,,,53613400.0,2026-04-23 09:26:00
,78.3,78.4,77.8,77.9,750,,,58483100.0,2026-04-23 09:27:00
,77.9,78.0,77.8,77.8,334,,,26020400.0,2026-04-23 09:28:00
,77.9,78.0,77.5,77.6,1642,,,127584000.0,2026-04-23 09:29:00
,77.6,77.8,77.4,77.6,1982,,,153662500.0,2026-04-23 09:30:00
,77.6,77.6,77.0,77.1,2671,,,206306300.0,2026-04-23 09:31:00
,77.1,77.5,77.1,77.2,985,,,76153900.0,2026-04-23 09:32:00
,77.2,77.3,77.1,77.2,1532,,,118189100.0,2026-04-23 09:33:00
,77.1,77.2,76.6,76.7,3612,,,277769600.0,2026-04-23 09:34:00
,76.7,76.8,76.5,76.8,1437,,,110107400.0,2026-04-23 09:35:00
,76.8,77.1,76.5,76.6,2168,,,166409900.0,2026-04-23 09:36:00
,76.6,76.8,76.4,76.6,2217,,,169657500.0,2026-04-23 09:37:00
,76.7,76.7,76.3,76.5,2569,,,196381200.0,2026-04-23 09:38:00
,76.4,76.7,76.1,76.2,2179,,,166439500.0,2026-04-23 09:39:00
,76.3,76.7,76.3,76.7,1136,,,86854100.0,2026-04-23 09:40:00
,76.6,76.8,76.4,76.5,1197,,,91618500.0,2026-04-23 09:41:00
,76.6,76.9,76.5,76.8,849,,,65183100.0,2026-04-23 09:42:00
,76.8,77.2,76.7,77.0,1641,,,126322400.0,2026-04-23 09:43:00
,76.9,77.1,76.9,77.0,809,,,62288300.0,2026-04-23 09:44:00
,77.0,77.0,76.6,76.7,1937,,,148928600.0,2026-04-23 09:45:00
,76.6,76.7,76.1,76.3,2119,,,161909400.0,2026-04-23 09:46:00
,76.2,76.3,76.0,76.2,1518,,,115520100.0,2026-04-23 09:47:00
,76.1,76.4,75.9,76.3,2566,,,195222200.0,2026-04-23 09:48:00
,76.4,76.4,76.1,76.4,1645,,,125327400.0,2026-04-23 09:49:00
,76.4,76.7,76.3,76.3,1247,,,95372500.0,2026-04-23 09:50:00
,76.3,76.5,76.2,76.2,891,,,68023700.0,2026-04-23 09:51:00
,76.3,76.4,76.1,76.2,697,,,53125000.0,2026-04-23 09:52:00
,76.2,76.5,76.2,76.4,691,,,52741700.0,2026-04-23 09:53:00
,76.4,76.6,76.4,76.5,563,,,43066200.0,2026-04-23 09:54:00
,76.6,76.8,76.5,76.8,809,,,62059600.0,2026-04-23 09:55:00
,76.8,76.9,76.8,76.9,170,,,13059300.0,2026-04-23 09:56:00
,76.8,77.1,76.7,77.1,1379,,,106120900.0,2026-04-23 09:57:00
,77.0,77.0,76.4,76.4,823,,,63144500.0,2026-04-23 09:58:00
,76.5,76.6,76.4,76.6,286,,,21868200.0,2026-04-23 09:59:00
,76.6,76.8,76.5,76.5,192,,,14711100.0,2026-04-23 10:00:00
,76.6,76.6,76.4,76.5,432,,,33041800.0,2026-04-23 10:01:00
,76.5,76.6,76.3,76.3,339,,,25909400.0,2026-04-23 10:02:00
,76.3,76.4,76.2,76.3,471,,,35929000.0,2026-04-23 10:03:00
,76.2,76.3,76.0,76.1,999,,,76038400.0,2026-04-23 10:04:00
,76.1,76.2,75.9,75.9,974,,,74020200.0,2026-04-23 10:05:00
,75.9,76.0,75.6,75.8,1646,,,124774400.0,2026-04-23 10:06:00
,75.9,75.9,75.6,75.6,546,,,41358700.0,2026-04-23 10:07:00
,75.6,75.8,75.6,75.6,867,,,65580500.0,2026-04-23 10:08:00
,75.6,75.8,75.5,75.6,745,,,56345200.0,2026-04-23 10:09:00
,75.6,75.6,75.3,75.3,1695,,,127890100.0,2026-04-23 10:10:00
,75.3,75.5,75.2,75.2,1577,,,118765300.0,2026-04-23 10:11:00
,75.2,75.3,74.9,75.0,2365,,,177486000.0,2026-04-23 10:12:00
,75.0,75.0,74.5,74.7,2467,,,184522000.0,2026-04-23 10:13:00
,74.7,74.8,74.3,74.4,2302,,,171681900.0,2026-04-23 10:14:00
,74.5,74.7,74.2,74.4,5050,,,375581700.0,2026-04-23 10:15:00
,74.4,74.5,74.2,74.3,1965,,,146028600.0,2026-04-23 10:16:00
,74.4,75.1,74.3,75.0,1914,,,143002500.0,2026-04-23 10:17:00
,75.0,75.5,74.9,75.3,766,,,57672900.0,2026-04-23 10:18:00
,75.3,75.4,75.0,75.1,605,,,45539100.0,2026-04-23 10:19:00
,75.1,75.5,75.1,75.3,574,,,43219100.0,2026-04-23 10:20:00
,75.2,75.5,75.1,75.3,513,,,38609000.0,2026-04-23 10:21:00
,75.3,75.3,75.0,75.1,616,,,46275600.0,2026-04-23 10:22:00
,75.0,75.2,75.0,75.2,290,,,21775000.0,2026-04-23 10:23:00
,75.2,75.2,75.0,75.2,390,,,29285600.0,2026-04-23 10:24:00
,75.2,75.2,75.0,75.0,572,,,42925600.0,2026-04-23 10:25:00
,75.0,75.0,74.6,74.7,619,,,46285600.0,2026-04-23 10:26:00
,74.7,75.0,74.5,74.7,857,,,64035400.0,2026-04-23 10:27:00
,74.6,74.7,74.6,74.7,412,,,30751600.0,2026-04-23 10:28:00
,74.7,74.7,74.4,74.4,639,,,47622700.0,2026-04-23 10:29:00
,74.3,74.4,74.2,74.3,655,,,48635100.0,2026-04-23 10:30:00
,74.2,74.3,73.8,73.9,2839,,,210237400.0,2026-04-23 10:31:00
,73.8,73.9,73.5,73.8,1515,,,111767300.0,2026-04-23 10:32:00
,73.8,74.0,73.8,73.9,761,,,56239300.0,2026-04-23 10:33:00
,73.8,73.9,73.8,73.9,530,,,39157000.0,2026-04-23 10:34:00
,73.8,73.9,73.4,73.4,1405,,,103376700.0,2026-04-23 10:35:00
,73.4,73.6,73.4,73.5,615,,,45181900.0,2026-04-23 10:36:00
,73.4,73.7,73.4,73.5,577,,,42440100.0,2026-04-23 10:37:00
,73.5,73.6,72.7,72.8,2015,,,147333600.0,2026-04-23 10:38:00
,72.8,72.9,72.6,72.7,1493,,,108638400.0,2026-04-23 10:39:00
,72.7,72.9,72.4,72.9,2109,,,153150800.0,2026-04-23 10:40:00
,72.8,73.6,72.8,73.4,1214,,,88892600.0,2026-04-23 10:41:00
,73.3,73.3,73.1,73.2,395,,,28919500.0,2026-04-23 10:42:00
,73.2,73.3,73.0,73.1,603,,,44121000.0,2026-04-23 10:43:00
,73.0,73.1,72.8,72.8,505,,,36832700.0,2026-04-23 10:44:00
,72.8,73.2,72.8,73.0,842,,,61507600.0,2026-04-23 10:45:00
,73.0,73.0,72.8,72.9,194,,,14146500.0,2026-04-23 10:46:00
,72.9,73.0,72.8,72.9,360,,,26249400.0,2026-04-23 10:47:00
,72.9,73.5,72.8,73.5,940,,,68760500.0,2026-04-23 10:48:00
,73.4,73.5,73.3,73.3,398,,,29212700.0,2026-04-23 10:49:00
,73.3,73.7,73.3,73.7,736,,,54108000.0,2026-04-23 10:50:00
,73.7,73.8,73.6,73.8,363,,,26766900.0,2026-04-23 10:51:00
,73.8,74.0,73.7,74.0,341,,,25184800.0,2026-04-23 10:52:00
,74.0,74.0,73.8,74.0,246,,,18182300.0,2026-04-23 10:53:00
,74.0,74.1,73.9,74.1,439,,,32502800.0,2026-04-23 10:54:00
,74.1,74.2,73.7,73.7,702,,,51901000.0,2026-04-23 10:55:00
,73.8,73.8,73.6,73.6,321,,,23640900.0,2026-04-23 10:56:00
,73.6,73.7,73.3,73.4,538,,,39572900.0,2026-04-23 10:57:00
,73.4,73.5,73.3,73.4,258,,,18943700.0,2026-04-23 10:58:00
,73.4,73.5,73.4,73.5,137,,,10063600.0,2026-04-23 10:59:00
,73.5,73.5,73.2,73.3,665,,,48762700.0,2026-04-23 11:00:00
,73.3,73.4,73.2,73.3,301,,,22059800.0,2026-04-23 11:01:00
,73.2,73.5,73.2,73.4,180,,,13192800.0,2026-04-23 11:02:00
,73.5,73.6,73.3,73.4,321,,,23584500.0,2026-04-23 11:03:00
,73.3,73.4,73.2,73.2,140,,,10258600.0,2026-04-23 11:04:00
,73.2,73.3,73.0,73.1,442,,,32327500.0,2026-04-23 11:05:00
,73.1,73.2,73.0,73.2,214,,,15649600.0,2026-04-23 11:06:00
,73.2,73.2,73.1,73.1,156,,,11410900.0,2026-04-23 11:07:00
,73.1,73.2,73.0,73.2,412,,,30140200.0,2026-04-23 11:08:00
,73.2,73.2,73.0,73.1,116,,,8481300.0,2026-04-23 11:09:00
,73.1,73.2,73.0,73.1,441,,,32204900.0,2026-04-23 11:10:00
,73.0,73.1,72.9,73.0,1058,,,77224300.0,2026-04-23 11:11:00
,73.0,73.1,72.8,72.9,362,,,26404500.0,2026-04-23 11:12:00
,72.8,72.9,72.5,72.5,1431,,,103919700.0,2026-04-23 11:13:00
,72.6,72.7,72.4,72.5,528,,,38310300.0,2026-04-23 11:14:00
,72.4,72.5,72.1,72.2,930,,,67258000.0,2026-04-23 11:15:00
,72.2,72.3,72.0,72.1,951,,,68577200.0,2026-04-23 11:16:00
,72.2,72.3,72.1,72.2,416,,,30022800.0,2026-04-23 11:17:00
,72.2,72.2,71.9,72.2,1513,,,108983900.0,2026-04-23 11:18:00
,72.2,72.3,72.1,72.1,233,,,16815000.0,2026-04-23 11:19:00
,72.1,72.2,72.0,72.0,447,,,32234100.0,2026-04-23 11:20:00
,72.1,72.2,71.6,71.8,2105,,,151254700.0,2026-04-23 11:21:00
,71.8,72.2,71.7,72.1,608,,,43744800.0,2026-04-23 11:22:00
,72.1,72.2,72.0,72.0,272,,,19602500.0,2026-04-23 11:23:00
,72.1,72.2,72.0,72.1,183,,,13201700.0,2026-04-23 11:24:00
,72.1,72.1,71.8,71.9,372,,,26767900.0,2026-04-23 11:25:00
,71.9,71.9,71.8,71.9,224,,,16095000.0,2026-04-23 11:26:00
,71.8,71.9,71.7,71.8,358,,,25709900.0,2026-04-23 11:27:00
,71.7,71.9,71.7,71.8,525,,,37680200.0,2026-04-23 11:28:00
,71.8,72.2,71.8,72.2,856,,,61582100.0,2026-04-23 11:29:00
,72.2,72.6,72.1,72.4,1228,,,88891200.0,2026-04-23 11:30:00
,72.4,72.5,72.2,72.3,696,,,50364400.0,2026-04-23 11:31:00
,72.3,72.5,72.2,72.4,695,,,50321800.0,2026-04-23 11:32:00
,72.4,72.5,72.4,72.5,205,,,14853300.0,2026-04-23 11:33:00
,72.4,72.4,72.1,72.2,318,,,22973900.0,2026-04-23 11:34:00
,72.2,72.4,72.1,72.4,369,,,26657200.0,2026-04-23 11:35:00
,72.4,72.5,72.4,72.4,247,,,17891500.0,2026-04-23 11:36:00
,72.4,72.5,72.1,72.2,670,,,48484800.0,2026-04-23 11:37:00
,72.3,72.4,72.2,72.3,285,,,20612200.0,2026-04-23 11:38:00
,72.3,72.6,72.2,72.3,636,,,46036100.0,2026-04-23 11:39:00
,72.2,72.3,72.1,72.2,315,,,22747000.0,2026-04-23 11:40:00
,72.2,72.2,72.1,72.1,201,,,14499100.0,2026-04-23 11:41:00
,72.1,72.4,72.1,72.2,297,,,21453400.0,2026-04-23 11:42:00
