timestamp,Open,High,Low,Close,Volume,Amount,Date
,349.5,349.5,349.0,349.0,8,2792500.0,2026-04-30 10:07:00
,349.0,349.0,347.0,347.0,72,25044500.0,2026-04-30 10:08:00
,347.0,347.0,345.0,345.0,139,48052000.0,2026-04-30 10:09:00
,345.0,345.5,343.5,345.5,89,30653000.0,2026-04-30 10:10:00
,345.5,348.0,345.5,348.0,31,10763000.0,2026-04-30 10:11:00
,347.5,348.0,347.0,347.5,29,10079500.0,2026-04-30 10:12:00
,347.5,348.0,347.5,348.0,17,5910000.0,2026-04-30 10:13:00
,347.5,347.5,347.5,347.5,9,3127500.0,2026-04-30 10:14:00
,347.5,347.5,346.0,346.0,49,17013500.0,2026-04-30 10:15:00
,346.0,346.5,346.0,346.5,24,8305500.0,2026-04-30 10:16:00
,346.5,346.5,346.5,346.5,4,1386000.0,2026-04-30 10:17:00
,346.5,348.0,346.5,348.0,23,7989000.0,2026-04-30 10:18:00
,348.5,348.5,348.0,348.0,7,2437000.0,2026-04-30 10:19:00
,348.0,348.0,348.0,348.0,5,1740000.0,2026-04-30 10:20:00
,348.0,348.0,347.5,347.5,7,2434000.0,2026-04-30 10:21:00
,347.5,347.5,346.5,346.5,14,4858500.0,2026-04-30 10:22:00
,347.0,348.5,346.5,348.5,14,4864500.0,2026-04-30 10:23:00
,348.5,350.5,348.5,350.5,31,10844500.0,2026-04-30 10:24:00
,351.0,351.0,350.0,350.5,39,13663000.0,2026-04-30 10:25:00
,350.0,350.5,349.5,349.5,28,9797500.0,2026-04-30 10:26:00
,349.5,349.5,348.5,349.0,10,3490500.0,2026-04-30 10:27:00
,348.5,349.0,348.5,349.0,3,1046500.0,2026-04-30 10:28:00
,349.0,349.0,348.5,348.5,4,1394500.0,2026-04-30 10:29:00
,349.0,349.0,348.5,349.0,4,1395500.0,2026-04-30 10:30:00
,349.0,349.0,347.0,348.0,13,4523500.0,2026-04-30 10:31:00
,347.0,348.0,346.0,348.0,22,7631500.0,2026-04-30 10:32:00
,348.0,348.0,347.5,347.5,4,1390500.0,2026-04-30 10:33:00
,348.0,348.0,347.5,347.5,6,2087500.0,2026-04-30 10:34:00
,347.5,348.0,347.5,348.0,4,1391500.0,2026-04-30 10:35:00
,348.0,348.5,348.0,348.5,13,4528500.0,2026-04-30 10:36:00
,348.5,349.5,348.0,349.5,21,7327000.0,2026-04-30 10:37:00
,349.5,350.0,349.5,349.5,13,4547500.0,2026-04-30 10:38:00
,349.5,350.0,349.5,350.0,13,4548000.0,2026-04-30 10:39:00
,349.5,351.5,349.5,351.0,61,21389500.0,2026-04-30 10:40:00
,351.0,351.0,350.5,351.0,5,1754000.0,2026-04-30 10:41:00
,350.5,351.0,350.5,351.0,5,1754000.0,2026-04-30 10:42:00
,350.5,351.0,350.5,350.5,4,1402500.0,2026-04-30 10:43:00
,350.5,350.5,350.0,350.5,17,5953500.0,2026-04-30 10:44:00
,350.5,351.0,350.0,350.0,12,4201500.0,2026-04-30 10:45:00
,350.5,350.5,350.0,350.0,18,6302500.0,2026-04-30 10:46:00
,350.0,351.0,349.5,349.5,9,3152500.0,2026-04-30 10:47:00
,349.5,350.0,349.5,349.5,12,4196500.0,2026-04-30 10:48:00
,349.0,350.0,349.0,350.0,17,5938500.0,2026-04-30 10:49:00
