Date,Open,High,Low,Close,Volume,Amount
2024-07-19 12:54:00,21.55,21.55,21.55,21.55,4,86200.0
2024-07-19 12:55:00,21.55,21.55,21.55,21.55,5,107750.0
2024-07-19 12:56:00,21.55,21.55,21.55,21.55,22,474100.0
2024-07-19 12:57:00,21.55,21.6,21.55,21.6,47,1014750.0
2024-07-19 13:00:00,21.55,21.55,21.5,21.5,10,215200.0
2024-07-19 13:01:00,21.55,21.55,21.55,21.55,4,86200.0
2024-07-19 13:02:00,21.5,21.5,21.5,21.5,3,64500.0
2024-07-19 13:03:00,21.55,21.55,21.55,21.55,7,150850.0
2024-07-19 13:04:00,21.55,21.55,21.55,21.55,2,43100.0
2024-07-19 13:05:00,21.55,21.55,21.55,21.55,7,150850.0
2024-07-19 13:06:00,21.5,21.55,21.5,21.55,15,323200.0
2024-07-19 13:07:00,21.5,21.55,21.45,21.55,63,1354550.0
2024-07-19 13:08:00,21.5,21.5,21.5,21.5,7,150500.0
2024-07-19 13:09:00,21.55,21.55,21.5,21.5,21,451650.0
2024-07-19 13:11:00,21.5,21.55,21.5,21.55,25,538300.0
2024-07-19 13:12:00,21.5,21.55,21.45,21.55,11,236800.0
2024-07-19 13:13:00,21.5,21.5,21.5,21.5,3,64500.0
2024-07-19 13:14:00,21.5,21.5,21.5,21.5,32,688000.0
2024-07-19 13:15:00,21.5,21.5,21.5,21.5,36,774000.0
2024-07-19 13:16:00,21.5,21.6,21.5,21.55,46,991300.0
2024-07-19 13:17:00,21.5,21.5,21.5,21.5,23,494500.0
2024-07-19 13:18:00,21.5,21.5,21.5,21.5,2,43000.0
2024-07-19 13:19:00,21.5,21.5,21.5,21.5,11,236500.0
2024-07-19 13:20:00,21.5,21.5,21.5,21.5,32,688000.0
2024-07-19 13:21:00,21.5,21.5,21.5,21.5,6,129000.0
2024-07-19 13:22:00,21.5,21.55,21.5,21.55,21,452350.0
2024-07-19 13:23:00,21.5,21.55,21.5,21.55,9,193850.0
2024-07-19 13:24:00,21.55,21.55,21.55,21.55,17,366350.0
2024-07-19 13:25:00,21.55,21.6,21.55,21.55,25,539650.0
2024-07-19 13:30:00,21.5,21.5,21.5,21.5,260,5590000.0
2024-07-01 09:01:00,18.3,18.3,18.25,18.25,13,237750.0
2024-07-01 09:05:00,18.3,18.3,18.3,18.3,2,36600.0
2024-07-01 09:06:00,18.3,18.3,18.3,18.3,9,164700.0
2024-07-01 09:07:00,18.3,18.3,18.3,18.3,3,54900.0
2024-07-01 09:09:00,18.3,18.3,18.3,18.3,2,36600.0
2024-07-01 09:13:00,18.3,18.3,18.3,18.3,26,475800.0
2024-07-01 09:15:00,18.3,18.3,18.3,18.3,1,18300.0
2024-07-01 09:16:00,18.3,18.3,18.3,18.3,1,18300.0
2024-07-01 09:18:00,18.3,18.3,18.3,18.3,3,54900.0
2024-07-01 09:25:00,18.3,18.3,18.3,18.3,5,91500.0
2024-07-01 09:26:00,18.35,18.4,18.35,18.4,66,1212650.0
2024-07-01 09:27:00,18.35,18.35,18.35,18.35,7,128450.0
2024-07-01 09:29:00,18.35,18.35,18.35,18.35,48,880800.0
2024-07-01 09:30:00,18.45,18.45,18.45,18.45,1,18450.0
2024-07-01 09:33:00,18.4,18.4,18.4,18.4,2,36800.0
2024-07-01 09:35:00,18.4,18.4,18.4,18.4,12,220800.0
2024-07-01 09:36:00,18.4,18.45,18.4,18.45,52,957400.0
2024-07-01 09:40:00,18.45,18.45,18.4,18.4,8,147500.0
2024-07-01 09:41:00,18.4,18.4,18.4,18.4,1,18400.0
2024-07-01 09:43:00,18.4,18.4,18.4,18.4,2,36800.0
2024-07-01 09:44:00,18.4,18.4,18.4,18.4,50,920000.0
2024-07-01 09:45:00,18.4,18.4,18.4,18.4,50,920000.0
2024-07-01 09:47:00,18.45,18.45,18.35,18.45,112,2062850.0
2024-07-01 09:48:00,18.4,18.45,18.4,18.45,27,497850.0
2024-07-01 09:50:00,18.45,18.45,18.45,18.45,12,221400.0
2024-07-01 09:51:00,18.5,18.5,18.45,18.45,107,1977000.0
2024-07-01 09:52:00,18.5,18.55,18.5,18.55,4,74150.0
2024-07-01 09:53:00,18.5,18.55,18.5,18.55,12,222100.0
2024-07-01 09:54:00,18.55,18.55,18.55,18.55,3,55650.0
2024-07-01 09:55:00,18.55,18.6,18.55,18.6,153,2843250.0
2024-07-01 09:56:00,18.6,18.6,18.55,18.55,16,297300.0
2024-07-01 09:57:00,18.6,18.6,18.6,18.6,19,353400.0
2024-07-01 09:58:00,18.6,18.6,18.6,18.6,1,18600.0
2024-07-01 09:59:00,18.6,18.6,18.6,18.6,4,74400.0
2024-07-01 10:00:00,18.65,18.65,18.6,18.65,7,130500.0
2024-07-01 10:01:00,18.65,18.65,18.6,18.65,29,540750.0
2024-07-01 10:02:00,18.65,18.65,18.65,18.65,16,298400.0
2024-07-01 10:04:00,18.65,18.7,18.65,18.65,10,186650.0
2024-07-01 10:05:00,18.65,18.65,18.65,18.65,6,111900.0
2024-07-01 10:06:00,18.6,18.6,18.6,18.6,4,74400.0
2024-07-01 10:07:00,18.6,18.65,18.6,18.65,75,1398650.0
2024-07-01 10:08:00,18.65,18.65,18.65,18.65,1,18650.0
2024-07-01 10:09:00,18.65,18.65,18.65,18.65,9,167850.0
2024-07-01 10:10:00,18.65,18.7,18.65,18.7,44,822750.0
2024-07-01 10:11:00,18.75,18.8,18.75,18.8,59,1107350.0
2024-07-01 10:12:00,18.8,18.8,18.75,18.75,87,1632650.0
2024-07-01 10:13:00,18.75,18.75,18.75,18.75,5,93750.0
2024-07-01 10:14:00,18.8,18.8,18.75,18.75,68,1275450.0
2024-07-01 10:15:00,18.8,18.8,18.8,18.8,1,18800.0
2024-07-01 10:16:00,18.8,18.8,18.7,18.7,70,1312750.0
2024-07-01 10:18:00,18.75,18.75,18.7,18.7,5,93700.0
2024-07-01 10:19:00,18.7,18.7,18.7,18.7,2,37400.0
2024-07-01 10:20:00,18.7,18.7,18.7,18.7,13,243100.0
2024-07-01 10:22:00,18.7,18.7,18.7,18.7,10,187000.0
2024-07-01 10:23:00,18.7,18.7,18.7,18.7,22,411400.0
2024-07-01 10:24:00,18.75,18.75,18.75,18.75,2,37500.0
2024-07-01 10:25:00,18.75,18.75,18.75,18.75,6,112500.0
2024-07-01 10:26:00,18.8,18.8,18.75,18.8,74,1388700.0
2024-07-01 10:28:00,18.75,18.75,18.75,18.75,10,187500.0
2024-07-01 10:30:00,18.75,18.75,18.75,18.75,5,93750.0
2024-07-01 10:31:00,18.75,18.75,18.75,18.75,1,18750.0
2024-07-01 10:33:00,18.8,18.8,18.8,18.8,10,188000.0
2024-07-01 10:34:00,18.8,18.8,18.8,18.8,6,112800.0
2024-07-01 10:36:00,18.75,18.8,18.75,18.8,75,1406500.0
2024-07-01 10:42:00,18.8,18.8,18.8,18.8,8,150400.0
2024-07-01 10:43:00,18.8,18.8,18.75,18.75,11,206750.0
2024-07-01 10:46:00,18.75,18.75,18.75,18.75,5,93750.0
2024-07-01 10:47:00,18.75,18.75,18.75,18.75,3,56250.0
2024-07-01 10:52:00,18.75,18.75,18.75,18.75,2,37500.0
2024-07-01 10:53:00,18.7,18.7,18.65,18.65,5,93350.0
2024-07-01 10:55:00,18.7,18.7,18.7,18.7,3,56100.0
2024-07-01 11:06:00,18.7,18.7,18.7,18.7,6,112200.0
2024-07-01 11:10:00,18.7,18.7,18.7,18.7,1,18700.0
2024-07-01 11:12:00,18.7,18.7,18.7,18.7,2,37400.0
2024-07-01 11:19:00,18.7,18.7,18.7,18.7,1,18700.0
2024-07-01 11:20:00,18.7,18.7,18.7,18.7,5,93500.0
2024-07-01 11:22:00,18.7,18.7,18.7,18.7,25,467500.0
2024-07-01 11:26:00,18.7,18.7,18.7,18.7,2,37400.0
2024-07-01 11:32:00,18.65,18.7,18.65,18.7,5,93450.0
2024-07-01 11:34:00,18.7,18.7,18.7,18.7,3,56100.0
2024-07-01 11:42:00,18.65,18.65,18.65,18.65,5,93250.0
2024-07-01 11:51:00,18.65,18.65,18.65,18.65,4,74600.0
2024-07-01 11:55:00,18.65,18.65,18.65,18.65,5,93250.0
2024-07-01 11:58:00,18.6,18.6,18.6,18.6,3,55800.0
2024-07-01 12:01:00,18.65,18.65,18.65,18.65,3,55950.0
2024-07-01 12:06:00,18.6,18.6,18.6,18.6,1,18600.0
2024-07-01 12:07:00,18.6,18.6,18.55,18.55,50,929250.0
2024-07-01 12:10:00,18.6,18.6,18.6,18.6,14,260400.0
2024-07-01 12:12:00,18.6,18.6,18.6,18.6,5,93000.0
2024-07-01 12:16:00,18.6,18.6,18.6,18.6,4,74400.0
2024-07-01 12:18:00,18.6,18.6,18.6,18.6,2,37200.0
2024-07-01 12:22:00,18.6,18.6,18.6,18.6,2,37200.0
2024-07-01 12:29:00,18.6,18.6,18.6,18.6,13,241800.0
2024-07-01 12:33:00,18.6,18.6,18.6,18.6,1,18600.0
2024-07-01 12:34:00,18.6,18.6,18.6,18.6,5,93000.0
2024-07-01 12:35:00,18.6,18.6,18.6,18.6,1,18600.0
2024-07-01 12:38:00,18.65,18.65,18.65,18.65,1,18650.0
2024-07-01 12:47:00,18.6,18.6,18.6,18.6,1,18600.0
2024-07-01 12:48:00,18.65,18.65,18.6,18.6,11,204650.0
2024-07-01 12:49:00,18.6,18.6,18.6,18.6,2,37200.0
2024-07-01 12:50:00,18.65,18.7,18.65,18.7,53,988550.0
2024-07-01 12:53:00,18.7,18.7,18.7,18.7,2,37400.0
2024-07-01 12:55:00,18.7,18.7,18.7,18.7,5,93500.0
2024-07-01 12:56:00,18.7,18.7,18.65,18.65,11,205650.0
2024-07-01 13:01:00,18.6,18.6,18.6,18.6,1,18600.0
2024-07-01 13:02:00,18.6,18.6,18.6,18.6,2,37200.0
2024-07-01 13:03:00,18.65,18.65,18.65,18.65,5,93250.0
2024-07-01 13:04:00,18.65,18.65,18.65,18.65,1,18650.0
2024-07-01 13:05:00,18.7,18.7,18.7,18.7,4,74800.0
2024-07-01 13:10:00,18.7,18.7,18.7,18.7,1,18700.0
2024-07-01 13:12:00,18.6,18.6,18.55,18.55,9,167350.0
2024-07-01 13:18:00,18.6,18.6,18.6,18.6,2,37200.0
2024-07-01 13:19:00,18.6,18.6,18.55,18.55,20,371200.0
2024-07-01 13:20:00,18.6,18.6,18.6,18.6,2,37200.0
2024-07-01 13:22:00,18.65,18.65,18.65,18.65,1,18650.0
2024-07-01 13:23:00,18.65,18.65,18.65,18.65,2,37300.0
2024-07-01 13:25:00,18.65,18.65,18.65,18.65,2,37300.0
2024-07-01 13:30:00,18.65,18.65,18.65,18.65,20,373000.0
2024-07-11 09:01:00,18.8,18.85,18.8,18.85,114,2144150.0
2024-07-11 09:02:00,18.85,18.9,18.6,18.65,166,3119950.0
2024-07-11 09:03:00,18.65,18.75,18.6,18.65,69,1285700.0
2024-07-11 09:04:00,18.65,18.75,18.65,18.75,6,112300.0
2024-07-11 09:05:00,18.7,18.75,18.7,18.75,12,224500.0
2024-07-11 09:06:00,18.75,18.85,18.7,18.85,58,1087650.0
2024-07-11 09:07:00,18.75,18.95,18.75,18.95,113,2135400.0
2024-07-11 09:08:00,18.95,19.0,18.85,18.95,91,1723500.0
2024-07-11 09:09:00,18.9,18.9,18.9,18.9,5,94500.0
2024-07-11 09:10:00,18.9,18.9,18.85,18.9,26,490900.0
2024-07-11 09:11:00,18.9,18.9,18.9,18.9,9,170100.0
2024-07-11 09:12:00,18.85,18.9,18.7,18.7,37,694450.0
2024-07-11 09:13:00,18.75,18.75,18.75,18.75,5,93750.0
2024-07-11 09:14:00,18.7,18.7,18.7,18.7,13,243100.0
2024-07-11 09:15:00,18.7,18.7,18.7,18.7,1,18700.0
2024-07-11 09:16:00,18.7,18.75,18.7,18.75,24,449500.0
2024-07-11 09:17:00,18.75,18.75,18.75,18.75,2,37500.0
2024-07-11 09:18:00,18.8,18.95,18.8,18.85,69,1304600.0
2024-07-11 09:19:00,18.9,19.0,18.9,18.95,145,2747650.0
2024-07-11 09:20:00,18.95,19.0,18.95,18.95,100,1898100.0
2024-07-11 09:21:00,18.95,19.05,18.95,19.05,101,1918750.0
2024-07-11 09:22:00,19.05,19.05,19.05,19.05,27,514350.0
2024-07-11 09:23:00,19.05,19.15,19.05,19.15,93,1776400.0
2024-07-11 09:24:00,19.15,19.2,19.15,19.15,64,1225850.0
2024-07-11 09:25:00,19.15,19.2,19.05,19.05,105,2008700.0
2024-07-11 09:26:00,19.05,19.1,19.05,19.1,54,1031300.0
2024-07-11 09:27:00,19.1,19.15,19.1,19.1,21,401200.0
2024-07-11 09:28:00,19.1,19.15,19.1,19.15,12,229500.0
2024-07-11 09:29:00,19.1,19.15,19.1,19.15,67,1282500.0
2024-07-11 09:30:00,19.2,19.2,19.15,19.15,73,1400800.0
2024-07-11 09:31:00,19.15,19.15,19.15,19.15,23,440450.0
2024-07-11 09:32:00,19.1,19.1,19.1,19.1,42,802200.0
2024-07-11 09:33:00,19.05,19.1,19.05,19.1,29,552750.0
2024-07-11 09:34:00,19.1,19.1,19.05,19.05,3,57250.0
2024-07-11 09:35:00,19.05,19.05,19.05,19.05,24,457200.0
2024-07-11 09:36:00,19.05,19.1,19.05,19.1,9,171500.0
2024-07-11 09:37:00,19.05,19.05,19.05,19.05,3,57150.0
2024-07-11 09:38:00,19.05,19.05,19.0,19.0,51,969900.0
2024-07-11 09:39:00,19.05,19.05,19.05,19.05,4,76200.0
2024-07-11 09:40:00,19.0,19.05,19.0,19.05,4,76150.0
2024-07-11 09:41:00,19.0,19.0,18.95,18.95,25,474350.0
2024-07-11 09:42:00,19.0,19.0,19.0,19.0,1,19000.0
2024-07-11 09:43:00,18.95,18.95,18.95,18.95,10,189500.0
2024-07-11 09:44:00,19.0,19.0,19.0,19.0,3,57000.0
2024-07-11 09:45:00,19.0,19.0,19.0,19.0,21,399000.0
2024-07-11 09:47:00,18.95,19.0,18.95,19.0,13,246400.0
2024-07-11 09:48:00,18.95,19.0,18.95,19.0,3,56950.0
2024-07-11 09:50:00,18.95,18.95,18.9,18.9,20,378750.0
2024-07-11 09:51:00,18.9,18.9,18.9,18.9,3,56700.0
2024-07-11 09:52:00,18.9,18.9,18.9,18.9,1,18900.0
2024-07-11 09:53:00,18.95,18.95,18.9,18.9,6,113450.0
2024-07-11 09:55:00,18.9,18.9,18.85,18.85,49,925600.0
2024-07-11 09:56:00,18.9,18.9,18.9,18.9,2,37800.0
2024-07-11 09:57:00,18.85,18.85,18.85,18.85,37,697450.0
2024-07-11 09:58:00,18.85,18.85,18.85,18.85,1,18850.0
2024-07-11 09:59:00,18.85,18.85,18.85,18.85,10,188500.0
2024-07-11 10:01:00,18.9,18.9,18.9,18.9,1,18900.0
2024-07-11 10:02:00,18.9,18.9,18.85,18.85,2,37750.0
2024-07-11 10:04:00,18.85,18.85,18.85,18.85,1,18850.0
2024-07-11 10:05:00,18.9,18.9,18.9,18.9,2,37800.0
2024-07-11 10:06:00,18.9,18.9,18.9,18.9,1,18900.0
2024-07-11 10:07:00,18.85,18.85,18.85,18.85,2,37700.0
2024-07-11 10:10:00,18.85,18.85,18.85,18.85,1,18850.0
2024-07-11 10:11:00,18.85,18.85,18.85,18.85,11,207350.0
2024-07-11 10:12:00,18.85,18.85,18.85,18.85,4,75400.0
2024-07-11 10:13:00,18.85,18.85,18.85,18.85,21,395850.0
2024-07-11 10:14:00,18.8,18.9,18.8,18.9,113,2125700.0
