entry_type,pnl_pts,pnl_cash,bars_held,mfe,mae
EARLY_BREAKOUT,-2.1,-420.0,4,0.0,-9.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,65,9.0,-7.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,4,7.0,-11.0
CONFIRMED_BREAKOUT,-12.0,-2400.0,8,15.0,-14.0
CONFIRMED_BREAKOUT,-12.0,-2400.0,13,18.0,-12.0
EARLY_BREAKOUT,-2.4,-480.0,1,1.0,-9.0
CONFIRMED_BREAKOUT,19.0,3800.0,1,25.0,-12.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,8,7.0,-17.0
EARLY_BREAKOUT,7.199999999999999,1439.9999999999998,1,24.0,-7.0
EARLY_BREAKOUT,-3.0,-600.0,20,15.0,-13.0
CONFIRMED_BREAKOUT,-14.0,-2800.0,3,1.0,-15.0
EARLY_BREAKOUT,6.0,1200.0,10,20.0,-7.0
EARLY_BREAKOUT,-1.5,-300.0,4,1.0,-5.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,21,6.0,-10.0
EARLY_BREAKOUT,-1.5,-300.0,1,1.0,-6.0
CONFIRMED_BREAKOUT,9.0,1800.0,7,9.0,-6.0
CONFIRMED_BREAKOUT,10.0,2000.0,2,12.0,-16.0
EARLY_BREAKOUT,4.8,960.0,8,18.0,-8.0
CONFIRMED_BREAKOUT,39.0,7800.0,8,40.0,-28.0
CONFIRMED_BREAKOUT,-18.0,-3600.0,4,7.0,-20.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,12,8.0,-9.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,4,1.0,-10.0
EARLY_BREAKOUT,-2.1,-420.0,19,9.0,-7.0
CONFIRMED_BREAKOUT,-8.0,-1600.0,2,6.0,-10.0
EARLY_BREAKOUT,3.3,660.0,10,11.0,-5.0
CONFIRMED_BREAKOUT,16.0,3200.0,41,17.0,-12.0
EARLY_BREAKOUT,-3.3,-660.0,14,9.0,-13.0
EARLY_BREAKOUT,4.5,900.0,16,17.0,-6.0
EARLY_BREAKOUT,-2.4,-480.0,24,11.0,-8.0
EARLY_BREAKOUT,-2.1,-420.0,1,1.0,-8.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,6,4.0,-10.0
EARLY_BREAKOUT,10.5,2100.0,14,35.0,-7.0
EARLY_BREAKOUT,6.6,1320.0,13,25.0,-7.0
EARLY_BREAKOUT,3.5999999999999996,719.9999999999999,27,13.0,-6.0
CONFIRMED_BREAKOUT,-11.0,-2200.0,16,2.0,-12.0
CONFIRMED_BREAKOUT,20.0,4000.0,15,21.0,-7.0
CONFIRMED_BREAKOUT,13.0,2600.0,4,13.0,-9.0
CONFIRMED_BREAKOUT,-13.0,-2600.0,29,18.0,-14.0
EARLY_BREAKOUT,-1.2,-240.0,5,4.0,-4.0
CONFIRMED_BREAKOUT,18.0,3600.0,16,18.0,-23.0
EARLY_BREAKOUT,4.5,900.0,11,16.0,-5.0
EARLY_BREAKOUT,4.2,840.0,18,16.0,-5.0
EARLY_BREAKOUT,3.9,780.0,17,14.0,-6.0
CONFIRMED_BREAKOUT,13.0,2600.0,2,15.0,-8.0
EARLY_BREAKOUT,4.8,960.0,9,17.0,-8.0
EARLY_BREAKOUT,2.6999999999999997,540.0,5,10.0,-8.0
CONFIRMED_BREAKOUT,-6.0,-1200.0,3,3.0,-12.0
EARLY_BREAKOUT,4.8,960.0,7,17.0,-4.0
CONFIRMED_BREAKOUT,-7.0,-1400.0,4,7.0,-8.0
