trade_id,release_ts,released_leg,release_fill_count,sibling_exit_fill_count,pre_release_paired_pnl,release_time_combined_valuation_gross,valuation_tier,immediate_executable_combined_pnl_gross,actual_full_pnl_gross,actual_full_pnl_net,post_release_incremental_pnl,unhedged_seconds,status,issue_flags,data_quality,entry_attribution,release_attribution,quote_age_s,schema_version
mts-auto-210734-945,2026-08-03T21:30:46.357410,FAR,1,1,,,UNUSABLE,,-1200.0,-1314.7,,4.1,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.005, 'NEAR': None}",exit_attribution.v1
mts-auto-213550-689,2026-08-03T21:36:47.246479,NEAR,1,1,-1450.0,,UNUSABLE,,480.0,365.3,1930.0,15.9,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.008}",exit_attribution.v1
mts-auto-213703-168,2026-08-03T21:42:04.113860,FAR,1,1,200.0,-1280.0,BOUNDED_TICK_PROXY,,-730.0,-844.7,-930.0,4.56,OK,[],PROXY,UNKNOWN,UNKNOWN,"{'FAR': 0.03, 'NEAR': 4.114}",exit_attribution.v1
mts-auto-214709-059,2026-08-03T21:48:47.120753,NEAR,1,1,-1460.0,,UNUSABLE,,240.0,125.3,1700.0,8.57,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.002}",exit_attribution.v1
mts-auto-220107-860,2026-08-03T22:04:15.088738,FAR,1,1,,,UNUSABLE,,-960.0,-1074.7,,15.81,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.019, 'NEAR': None}",exit_attribution.v1
mts-auto-220936-758,2026-08-03T22:13:10.339041,NEAR,1,1,-1380.0,,UNUSABLE,,90.0,-24.7,1470.0,7.44,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.039}",exit_attribution.v1
mts-auto-221817-904,2026-08-03T22:21:56.973639,NEAR,1,1,-1530.0,,UNUSABLE,,80.0,-34.7,1610.0,7.07,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.011}",exit_attribution.v1
mts-auto-222204-082,2026-08-03T22:30:12.400261,FAR,1,1,,,UNUSABLE,,0.0,0.0,,36887.95,CORRUPT,['corrupt_realized_pnl'],UNRECONCILED,UNKNOWN,UNKNOWN,"{'FAR': 0.044, 'NEAR': None}",exit_attribution.v1
mts-auto-085000-388,2026-08-04T08:55:06.483034,FAR,1,1,,,UNUSABLE,,-80.0,-194.7,,0.21,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.039, 'NEAR': None}",exit_attribution.v1
mts-auto-090006-702,2026-08-04T09:00:46.703894,NEAR,1,1,1740.0,,UNUSABLE,,0.0,-114.7,-1740.0,6.23,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.062}",exit_attribution.v1
mts-auto-090555-078,2026-08-04T09:06:27.836262,NEAR,1,1,1620.0,,UNUSABLE,,60.0,-54.7,-1560.0,14.23,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.014}",exit_attribution.v1
mts-auto-091145-053,2026-08-04T09:20:15.837034,NEAR,1,1,-1190.0,,UNUSABLE,,190.0,75.3,1380.0,7.61,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.047}",exit_attribution.v1
