ts,Close_near,Close_far,spread,spread_ma,spread_std,spread_z,vwap,vwap_std,vwap_z
2026-06-25 21:50:00,45916.0,46195.0,-279.0,-260.7,6.358583092748741,-2.877999663300639,46748.45,21.833038701307732,-38.12799543794772
2026-06-25 21:51:00,45969.0,46253.0,-284.0,-262.3,7.89470175430944,-2.7486788830438997,46746.65,21.08697527626267,-36.878214623573434
2026-06-25 21:52:00,45866.0,46133.0,-267.0,-263.05,7.570545415936706,-0.521758972832376,46739.95,31.829273186278627,-27.45742872874492
2026-06-25 21:53:00,45740.0,46011.0,-271.0,-263.8,7.5783625505377055,-0.9500733109541096,46729.9,46.752314887704216,-21.173283127855207
2026-06-25 21:54:00,45674.0,45953.0,-279.0,-265.05,7.930454291097243,-1.759041725473446,46722.9,51.03239425257723,-20.553611394531625
2026-06-25 21:55:00,45629.0,45894.0,-265.0,-265.1,7.9266373038882785,0.012615690130160164,46714.35,55.28612179519232,-19.631509043457278
2026-06-25 21:56:00,45581.0,45852.0,-271.0,-265.75,7.846387033132478,-0.669097761534211,46705.6,59.53362605768481,-18.890164676183556
2026-06-25 21:57:00,45595.0,45878.0,-283.0,-266.8,8.679073440725094,-1.8665586955381908,46700.65,59.76293077431419,-18.50059871018247
2026-06-25 21:58:00,45602.0,45877.0,-275.0,-267.6,8.659646279394853,-0.8545383681095458,46694.35,61.78168268823493,-17.680806874624256
2026-06-25 21:59:00,45452.0,45741.0,-289.0,-269.15,9.576698694997376,-2.072739326169796,46687.65,64.57250107235124,-19.135854728865134
2026-06-25 22:00:00,45380.0,45666.0,-286.0,-270.6,9.83227767155479,-1.5662698424956867,46677.25,73.22415117837848,-17.716149373173618
2026-06-25 22:01:00,45425.0,45699.0,-274.0,-271.2,9.64419650960195,-0.29033004431341447,46666.9,79.16864078798842,-15.686766725296922
2026-06-25 22:02:00,45446.0,45737.0,-291.0,-272.55,10.440180478376913,-1.7672108291817887,46652.65,89.69907292843602,-13.452201462134335
2026-06-25 22:03:00,45605.0,45899.0,-294.0,-274.15,11.165147841198527,-1.7778537536919186,46635.35,104.68814591323668,-9.842088528857229
2026-06-25 22:04:00,45683.0,45975.0,-292.0,-275.7,11.392980294902271,-1.4307055378032525,46612.65,128.83619751255148,-7.215751612891502
2026-06-25 22:05:00,45683.0,45962.0,-279.0,-276.05,11.38084725363441,-0.25920741525266694,46585.35,161.4989897313176,-5.5873414533503825
2026-06-25 22:06:00,45758.0,46027.0,-269.0,-276.5,10.87972522872997,0.6893556447726118,46557.85,184.05041500412284,-4.3458201383685084
2026-06-25 22:07:00,45782.0,46060.0,-278.0,-277.5,9.971010612350748,-0.05014536835219764,46523.25,212.61501531378713,-3.486348313198994
2026-06-25 22:08:00,45803.0,46078.0,-275.0,-278.3,9.003508088227028,0.3665238002412733,46483.2,241.17750615207262,-2.8203293534808433
2026-06-25 22:09:00,45835.0,46123.0,-288.0,-279.45,8.678315383458362,-0.9852142520997876,46439.6,263.7900680466543,-2.2919740855939583
2026-06-25 22:10:00,45841.0,46125.0,-284.0,-279.7,8.736493334828742,-0.4921883226142589,46389.0,296.18681871247645,-1.8501836185085987
2026-06-25 22:11:00,45905.0,46185.0,-280.0,-279.5,8.678467000209048,-0.05761386198598853,46347.9,302.1806535311295,-1.4656795358157353
2026-06-25 22:12:00,45901.0,46172.0,-271.0,-279.7,8.417400523854186,1.0335732481001636,46314.55,305.49950038736415,-1.353684701531865
2026-06-25 22:13:00,45838.0,46112.0,-274.0,-279.85,8.279810575002797,0.7065379028913408,46278.9,314.48485864328063,-1.4019752871476499
2026-06-25 22:14:00,45781.0,46046.0,-265.0,-279.15,8.922325634994225,1.5859093894199856,46234.5,325.1096171416636,-1.3949141338454822
2026-06-25 22:15:00,45759.0,46035.0,-276.0,-279.7,8.323081413188245,0.4445468951123313,46187.8,335.5489767375067,-1.2779058490035111
2026-06-25 22:16:00,45756.0,46034.0,-278.0,-280.05,8.08165564069457,0.25366089464111663,46139.45,343.2158251475347,-1.1172270388032584
2026-06-25 22:17:00,45732.0,46004.0,-272.0,-279.5,8.24301937527056,0.9098607753489392,46085.95,342.67392433797437,-1.0329061386383789
2026-06-25 22:18:00,45778.0,46049.0,-271.0,-279.3,8.404885797153401,0.9875208539788949,46034.9,335.5309853134413,-0.7656520895082595
2026-06-25 22:19:00,45777.0,46057.0,-280.0,-278.85,8.093369605978719,-0.1420916201764036,45985.05,321.0618033636247,-0.6480060780209719
2026-06-25 22:20:00,45871.0,46142.0,-271.0,-278.1,8.090930595102709,0.8775257575806573,45931.45,315.79048267408837,-0.1914243883733017
2026-06-25 22:21:00,45934.0,46208.0,-274.0,-278.1,8.090930595102709,0.5067402262085497,45874.1,305.939949388363,0.19579005657729204
2026-06-25 22:22:00,45939.0,46207.0,-268.0,-276.95,7.78983818493041,1.1489327233156055,45822.45,288.8983567390085,0.4034290859788257
2026-06-25 22:23:00,45834.0,46108.0,-274.0,-275.95,6.692297221828542,0.29137976622430833,45775.2,267.50279880519435,0.2198107842707967
2026-06-25 22:24:00,45838.0,46112.0,-274.0,-275.05,5.529585498887232,0.1898876507491045,45741.5,241.9261522822441,0.39888205177345976
2026-06-25 22:25:00,45808.0,46088.0,-280.0,-275.1,5.571544244030394,-0.8794689201741618,45717.6,221.00902577470674,0.40903306859582217
2026-06-25 22:26:00,45863.0,46135.0,-272.0,-275.25,5.437443284643496,0.597707383758594,45693.65,194.70470894258133,0.8697786556869566
2026-06-25 22:27:00,45880.0,46166.0,-286.0,-275.65,5.922970449647637,-1.7474340093349199,45679.6,177.8844687170117,1.126573901844172
2026-06-25 22:28:00,45822.0,46086.0,-264.0,-275.1,6.471801180996379,1.7151330347714886,45671.25,168.23069217500822,0.8960909454214022
2026-06-25 22:29:00,45822.0,46099.0,-277.0,-274.55,5.744333592426766,-0.42650726330205263,45666.35,162.51680884789837,0.9577470853841116
2026-06-25 22:30:00,45818.0,46088.0,-270.0,-273.85,5.373179006101361,0.7165218198813523,45671.2,166.17384682503356,0.8834121782988534
2026-06-25 22:31:00,45836.0,46109.0,-273.0,-273.5,5.175854874727431,0.09660239942997452,45667.45,161.12841397370943,1.0460600699979858
2026-06-25 22:32:00,45822.0,46100.0,-278.0,-273.85,5.234249556630069,-0.7928548218995969,45664.25,155.35659320685954,1.0154058913351274
2026-06-25 22:33:00,45864.0,46128.0,-264.0,-273.35,5.677981479737284,1.6467119580024838,45666.0,157.92469891225224,1.2537620863853274
2026-06-25 22:34:00,45903.0,46173.0,-270.0,-273.6,5.393953730069858,0.6674139564696263,45670.9,161.81402580610012,1.434362681749982
2026-06-25 22:35:00,45893.0,46158.0,-265.0,-273.05,5.689093906213275,1.414988068874782,45676.25,163.68000713908202,1.3242301475208478
2026-06-25 22:36:00,45885.0,46160.0,-275.0,-272.9,5.590405314373553,-0.3756436039799636,45682.75,164.28501389256516,1.2310922049911515
2026-06-25 22:37:00,45890.0,46180.0,-290.0,-273.8,6.76368009452561,-2.395145804295497,45691.5,163.23747634785204,1.2160197795327652
2026-06-25 22:38:00,45863.0,46112.0,-249.0,-272.7,8.742515596062551,2.7108902168471944,45698.35,161.84341848053916,1.017341338596353
2026-06-25 22:39:00,45873.0,46133.0,-260.0,-271.7,9.003508088226756,1.2994934735827297,45707.15,161.1120156262393,1.0294080137682022
2026-06-25 22:40:00,45933.0,46200.0,-267.0,-271.5,9.064099223688459,0.49646411507053345,45723.4,150.03171594590623,1.3970379441342229
2026-06-25 22:41:00,45928.0,46200.0,-272.0,-271.4,9.046080861201494,-0.06632706574328932,45747.95,129.67346642598855,1.388487598600342
2026-06-25 22:42:00,45911.0,46190.0,-279.0,-271.95,9.162136041455248,-0.7694712202592704,45773.4,111.65095988076378,1.232412154332992
2026-06-25 22:43:00,45871.0,46137.0,-266.0,-271.55,9.24220866744845,0.6005058097797993,45798.05,87.33870848705303,0.8352539356682965
2026-06-25 22:44:00,45808.0,46080.0,-272.0,-271.45,9.225108757026929,-0.05961989332440841,45809.5,74.81028637528992,-0.02005071859336519
2026-06-25 22:45:00,45825.0,46097.0,-272.0,-271.05,9.005699949419514,-0.10548874660888778,45817.25,68.80320907581654,0.11264009490400394
2026-06-25 22:46:00,45811.0,46077.0,-266.0,-270.75,9.07207978244098,0.523584460665087,45823.5,61.22649925243503,-0.2041599659072924
2026-06-25 22:47:00,45811.0,46075.0,-264.0,-269.65,8.437229527830166,0.6696510959389544,45828.75,59.799555535860875,-0.29682494862951947
2026-06-25 22:48:00,45822.0,46110.0,-288.0,-270.85,9.25814008830953,-1.8524239033340708,45833.65,59.78230243467495,-0.19487372559348295
2026-06-25 22:49:00,45881.0,46150.0,-269.0,-270.45,9.150639897096955,0.15845886367575254,45834.6,59.41947226617533,0.7808887933596603
2026-06-25 22:50:00,45907.0,46177.0,-270.0,-270.45,9.150639897096955,0.04917688872695683,45833.95,59.48593376563774,1.2280214056621315
2026-06-25 22:51:00,45896.0,46167.0,-271.0,-270.35,9.132215964434883,-0.07117659093164037,45832.8,59.56473700871522,1.061030454826821
2026-06-25 22:52:00,45975.0,46241.0,-266.0,-269.75,8.996344286783492,0.41683598142293377,45829.35,57.11048848432317,2.5503196324433888
2026-06-25 22:53:00,46028.0,46296.0,-268.0,-269.95,8.905793501691086,0.21895859135176565,45825.4,54.56951144301424,3.712695874354113
2026-06-25 22:54:00,45989.0,46250.0,-261.0,-269.5,9.127748324406747,0.9312263767474607,45826.7,55.19162789459419,2.940663397534965
2026-06-25 22:55:00,46029.0,46292.0,-263.0,-269.4,9.190383990604676,0.69638004315627,45832.8,56.59886552863027,3.46650057677835
2026-06-25 22:56:00,45991.0,46263.0,-272.0,-269.25,9.11837358535671,-0.3015888715522967,45839.5,55.31964531768255,2.738629272295317
2026-06-25 22:57:00,45962.0,46217.0,-255.0,-267.5,8.243019375270006,1.5164346255816672,45845.95,52.52114862424446,2.2095861008346778
2026-06-25 22:58:00,45855.0,46115.0,-260.0,-268.05,7.25095275046654,1.1101989320620052,45853.85,45.95108956005354,0.02502661005455635
2026-06-25 22:59:00,45845.0,46120.0,-275.0,-268.8,7.149530717026784,-0.867189784251788,45858.1,42.35675550627689,-0.3092777018309923
2026-06-25 23:00:00,45865.0,46115.0,-250.0,-267.95,8.293783340869698,2.164271631204406,45862.9,37.88611744310128,0.055429274407766904
2026-06-25 23:01:00,45890.0,46137.0,-247.0,-266.7,9.454043969034867,2.0837643726350366,45866.0,40.9929390603634,0.5854666815828756
2026-06-25 23:02:00,45896.0,46171.0,-275.0,-266.5,9.219544457294152,-0.9219544457291623,45865.7,40.48794492667755,0.7483709053367688
2026-06-25 23:03:00,45928.0,46196.0,-268.0,-266.6,9.22468085313138,-0.15176676811802522,45864.3,38.241751778949,1.6657186723088906
2026-06-25 23:04:00,45909.0,46196.0,-287.0,-267.35,10.240656845710777,-1.918822229477422,45866.15,37.588177034895715,1.1399861174490562
2026-06-25 23:05:00,45976.0,46236.0,-260.0,-266.75,10.305210741225828,0.6550084388858478,45864.65,39.32894340875434,2.8312481940517333
2026-06-25 23:06:00,45915.0,46184.0,-269.0,-266.9,10.31554779523672,-0.20357619795719556,45865.5,38.20788014845026,1.2955442648918527
2026-06-25 23:07:00,45916.0,46176.0,-260.0,-266.7,10.413048494431969,0.6434234896325116,45862.9,40.108930626047126,1.3238946830837444
