,Open,High,Low,Close,Volume,trading_day,sqz_on,momentum,atr,mom_velo,vwap,price_vs_vwap,fired,mom_prev,mom_state,ema_fast,ema_slow,ema_filter,ema_macro,bullish_align,bearish_align,ema_200_up,macd_line,macd_signal,macd_hist,macd_rising,rsv,k_val,d_val,bb_upper,bb_lower,score,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,adx,session,regime,open,high,low,close,volume,amount,bull_align,bear_align,in_pb_zone
2026-04-15 10:55:00,36996.0,37021.0,36973.0,36977.0,542.0,2026-04-15,True,-5.0,59.0,-27.722222222222214,36805.32098825992,0.0046645160843684,False,14.166666666666664,0.0,36952.58183693352,36835.73001162664,36835.73001162664,,True,False,False,47.17432248790283,58.20729580986245,-11.032973321959624,False,32.142857142857146,36.46766170182544,38.34549811035931,37076.39282891894,36886.10717108106,0.0,37071.0,36833.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,36.46942579224929,1.0,STRONG,36996.0,37021.0,36973.0,36977.0,542.0,0.0,True,False,True
2026-04-15 11:00:00,36979.0,36991.0,36947.0,36968.0,671.0,2026-04-15,True,-33.5,58.3,-23.11111111111111,36807.08646428052,0.0043718085612573,False,-5.0,0.0,36954.05023341604,36840.06673255691,36840.06673255691,,True,False,False,42.87944405536109,55.141725458962185,-12.262281403601094,False,24.107142857142858,32.347488753597915,36.346161658105515,37067.27217939142,36904.527820608586,0.0,37071.0,36850.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,34.95638207389565,1.0,STRONG,36979.0,36991.0,36947.0,36968.0,671.0,0.0,True,False,True
2026-04-15 11:05:00,36970.0,36970.0,36850.0,36886.0,2069.0,2026-04-15,True,-54.0,60.45,-22.722222222222214,36809.64166327585,0.0020744113029585,False,-33.5,0.0,36947.569258804986,36841.57274132554,36841.57274132554,,True,False,False,32.484545636070834,50.61028949438392,-18.125743858313086,False,21.052631578947366,28.582536362047733,33.75828655941959,37073.3123863717,36894.1876136283,-33.333333333333336,37071.0,36850.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,33.507772691811816,1.0,STRONG,36970.0,36970.0,36850.0,36886.0,2069.0,0.0,True,False,True
2026-04-15 11:10:00,36888.0,36934.0,36881.0,36903.0,619.0,2026-04-15,True,-69.66666666666666,58.85,-21.555555555555554,36810.5373777454,0.0025118520087267,False,-54.0,0.0,36943.32456749023,36843.586749806665,36843.586749806665,,True,False,False,25.32632555672899,45.55349670685294,-20.22717115012395,False,30.994152046783626,29.386408256959697,32.30099379193296,37065.97910176135,36905.22089823864,-33.333333333333336,37071.0,36850.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,32.16263540844825,1.0,STRONG,36888.0,36934.0,36881.0,36903.0,619.0,0.0,True,False,True
2026-04-15 11:15:00,36903.0,36912.0,36879.0,36880.0,455.0,2026-04-15,True,-86.16666666666666,55.15,-17.555555555555554,36811.02382564797,0.0018737912501083,False,-69.66666666666666,0.0,36937.29365630068,36844.780626862186,36844.780626862186,,True,False,False,17.594656542351004,39.96172867395256,-22.367072131601553,False,17.543859649122805,25.4388920543474,30.01362654607111,37074.32985470073,36888.470145299274,-33.333333333333336,37071.0,36850.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,30.951222135749006,1.0,STRONG,36903.0,36912.0,36879.0,36880.0,455.0,0.0,True,False,True
2026-04-15 11:20:00,36880.0,36892.0,36865.0,36872.0,532.0,2026-04-15,True,-99.33333333333331,54.05,-15.111111111111107,36811.519052271615,0.0016429897294513,False,-86.16666666666666,0.0,36931.07521284347,36845.67306532572,36845.67306532572,,True,False,False,10.698395559091296,34.109062050980306,-23.41066649188901,False,12.865497076023392,21.247760394906063,27.09167116234943,37081.199912948505,36871.1000870515,-33.333333333333336,37071.0,36850.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,30.095807621423027,1.0,STRONG,36880.0,36892.0,36865.0,36872.0,532.0,0.0,True,False,True
2026-04-15 11:25:00,36869.0,36880.0,36853.0,36855.0,541.0,2026-04-15,False,-109.83333333333331,51.3,-13.388888888888886,36811.87522143993,0.001171490946893,True,-99.33333333333331,0.0,36923.829954477435,36845.97886646258,36845.97886646258,,True,False,False,3.817297688350663,28.05070917845438,-24.233411490103716,False,2.923976608187134,15.139832465999758,23.107724930232877,37080.13341589248,36853.466584107526,-33.333333333333336,37071.0,36850.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,29.529793091773808,1.0,STRONG,36869.0,36880.0,36853.0,36855.0,541.0,0.0,True,False,True
2026-04-15 11:30:00,36854.0,36922.0,36851.0,36899.0,835.0,2026-04-15,False,-114.5,51.7,-9.444444444444445,36812.9629784689,0.0023371392729625,False,-109.83333333333331,0.0,36921.46519690815,36847.71726428348,36847.71726428348,,True,False,False,1.8925936849045684,22.81908607974442,-20.92649239483985,True,28.654970760233915,19.64487856407781,21.95344280818119,37074.21895180648,36846.78104819352,-33.333333333333336,37071.0,36850.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,27.87464876417724,1.0,STRONG,36854.0,36922.0,36851.0,36899.0,835.0,0.0,True,False,True
2026-04-15 11:35:00,36900.0,36920.0,36878.0,36879.0,565.0,2026-04-15,False,-112.5,51.4,-4.388888888888886,36813.516183556974,0.0017787982032608,False,-114.5,1.0,36917.42089244071,36848.74292774959,36848.74292774959,,True,False,False,-1.2323749067945755,18.00879388243662,-19.241168789231196,True,16.95906432748538,18.749607151880333,20.88549758941424,37065.26372630167,36839.63627369832,0.0,37071.0,36850.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,26.337729031409,1.0,STRONG,36900.0,36920.0,36878.0,36879.0,565.0,0.0,True,False,True
2026-04-15 11:40:00,36880.0,36890.0,36842.0,36844.0,692.0,2026-04-15,False,-114.66666666666666,51.35,-1.6111111111111145,36813.82577747773,0.0008196437584253,False,-112.5,0.0,36910.42842649397,36848.58742192174,36848.58742192174,,True,False,False,-6.458690756058786,13.11529695473754,-19.573987710796324,False,1.342281879194631,12.947165394318434,18.23938685771564,37061.04954162738,36825.95045837262,-33.333333333333336,37053.0,36842.0,False,True,False,False,36558.0,36551.0,37071.0,True,False,25.673133003054275,1.0,STRONG,36880.0,36890.0,36842.0,36844.0,692.0,0.0,True,False,False
